Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Weatherconditions,Type_of_vehicle,Road_traffic_density,multiple_deliveries,Time_taken(min),distance,order_hour,pickup_hour,day_of_week,is_weekend,month
37.0,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,Sunny,motorcycle ,High ,0.0,24,3.0207366434610647,11.0,11,Saturday,1,3
34.0,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,Stormy,scooter ,Jam ,1.0,33,20.1437369103486,19.0,19,Friday,0,3
23.0,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,Sandstorms,motorcycle ,Low ,1.0,26,1.549692932239404,8.0,8,Saturday,1,3
38.0,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,Sunny,motorcycle ,Medium ,1.0,21,7.774496620087613,18.0,18,Tuesday,0,4
32.0,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,Cloudy,scooter ,High ,1.0,30,6.197897916874956,13.0,13,Saturday,1,3
22.0,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,Cloudy,motorcycle ,Jam ,1.0,26,4.602205335871525,21.0,21,Friday,0,3
33.0,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,Fog,scooter ,Jam ,1.0,40,16.576886807242534,19.0,19,Friday,0,3
35.0,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,Cloudy,motorcycle ,Medium ,1.0,32,20.164987511903337,17.0,17,Monday,0,3
22.0,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,Stormy,motorcycle ,Jam ,1.0,34,19.94021940160752,20.0,21,Sunday,1,3
36.0,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,Fog,motorcycle ,Jam ,3.0,46,10.27146402322994,21.0,22,Saturday,1,2
21.0,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,Stormy,motorcycle ,High ,1.0,23,6.229376076976667,14.0,15,Sunday,1,2
23.0,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,Sandstorms,scooter ,Medium ,1.0,21,13.764305929575334,17.0,17,Friday,0,3
34.0,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,Sandstorms,motorcycle ,Low ,0.0,20,2.9277947281096,9.0,9,Sunday,1,2
24.0,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,Fog,scooter ,Jam ,1.0,41,19.37348408863585,19.0,20,Monday,0,2
29.0,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,Sandstorms,electric_scooter ,Jam ,1.0,20,13.740932234405252,20.0,20,Saturday,1,4
35.0,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,Windy,scooter ,High ,1.0,33,6.205589948340002,14.0,15,Tuesday,0,3
33.0,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,Sandstorms,motorcycle ,Jam ,1.0,40,16.821191645783845,20.0,20,Wednesday,0,3
34.0,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,Cloudy,motorcycle ,Jam ,1.0,41,10.738078032534036,20.0,20,Sunday,1,3
21.0,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,Windy,motorcycle ,Jam ,1.0,15,4.533895591762387,21.0,21,Tuesday,0,2
25.0,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,Sandstorms,motorcycle ,Jam ,2.0,36,12.23513612361146,20.0,20,Wednesday,0,3
31.0,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,Sandstorms,electric_scooter ,Low ,0.0,26,19.590994221235334,22.0,22,Thursday,0,3
37.0,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,Sandstorms,motorcycle ,Low ,1.0,20,1.554950180979803,8.0,8,Friday,0,3
33.0,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,Windy,scooter ,Jam ,1.0,39,20.140905255245308,19.0,19,Sunday,1,3
25.0,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,Cloudy,motorcycle ,High ,1.0,34,6.106736943461254,12.0,12,Saturday,1,3
29.0,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,Sunny,electric_scooter ,Medium ,1.0,15,17.04198395713032,18.0,18,Sunday,1,3
27.0,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,Stormy,motorcycle ,Jam ,0.0,18,4.46506838102404,20.0,20,Tuesday,0,4
35.0,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,Cloudy,scooter ,Low ,0.0,38,13.66073757837138,23.0,23,Saturday,1,3
32.0,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,Windy,motorcycle ,Jam ,1.0,47,13.94563444308926,21.0,21,Wednesday,0,3
23.0,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,Windy,electric_scooter ,Low ,0.0,12,16.82479191121949,23.0,23,Saturday,1,4
31.0,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,Sandstorms,motorcycle ,Low ,1.0,26,4.664630782215899,22.0,22,Friday,0,4
36.0,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,Stormy,motorcycle ,Low ,1.0,22,7.589769422472331,22.0,22,Saturday,1,3
26.0,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,Sandstorms,motorcycle ,Low ,0.0,21,7.705941974795929,23.0,23,Friday,0,2
38.0,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,Cloudy,scooter ,High ,1.0,25,6.164143763345328,13.0,13,Friday,0,2
32.0,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,Cloudy,scooter ,Low ,1.0,30,19.8806889061088,22.0,22,Saturday,1,4
33.0,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,Sunny,motorcycle ,Medium ,1.0,22,10.706184356730288,18.0,19,Tuesday,0,3
20.0,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,Windy,scooter ,High ,0.0,10,6.117369061558013,14.0,14,Sunday,1,4
20.0,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,Sandstorms,scooter ,Low ,1.0,19,1.51798712661804,11.0,11,Wednesday,0,3
35.0,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,Sunny,scooter ,Low ,1.0,11,3.06801652533814,9.0,9,Friday,0,4
26.0,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,Stormy,scooter ,Low ,0.0,11,3.099010093944629,8.0,8,Monday,0,3
22.0,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,Fog,motorcycle ,Low ,1.0,28,10.846013590626097,23.0,23,Friday,0,3
35.0,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,Cloudy,motorcycle ,Medium ,1.0,33,10.844094035055107,17.0,17,Monday,0,3
30.0,4.7,19.121999,72.908493,19.201999,72.988493,2022-04-06,Cloudy,scooter ,Medium ,1.0,33,12.216194933465744,19.0,18,Wednesday,0,4
37.0,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,Sandstorms,motorcycle ,Jam ,3.0,52,13.661199383826538,19.0,19,Monday,0,4
28.0,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,Stormy,scooter ,Jam ,1.0,22,16.79799879130621,19.0,19,Tuesday,0,3
37.0,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,Fog,scooter ,Low ,1.0,16,3.022780465653488,10.0,11,Sunday,1,2
23.0,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,Sunny,electric_scooter ,Jam ,0.0,11,9.1598473686937,21.0,21,Thursday,0,3
27.0,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,Windy,scooter ,Medium ,1.0,25,9.296712100181104,19.0,19,Saturday,1,3
37.0,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,Cloudy,motorcycle ,Medium ,1.0,26,6.196805343667927,16.0,16,Wednesday,0,3
33.0,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,Sunny,scooter ,High ,1.0,18,1.5179748068733323,11.0,11,Saturday,1,3
31.0,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,Fog,motorcycle ,Medium ,1.0,16,6.028674005255561,15.0,15,Sunday,1,4
31.0,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,Stormy,scooter ,Low ,1.0,23,17.044988256333504,22.0,22,Friday,0,3
28.0,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,Sandstorms,motorcycle ,Jam ,1.0,36,12.43888855192116,20.0,20,Monday,0,4
31.0,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,Cloudy,motorcycle ,Low ,0.0,16,9.107220024938371,22.0,23,Saturday,1,3
24.0,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,Sunny,motorcycle ,Medium ,0.0,19,13.994592406584347,17.0,18,Thursday,0,3
39.0,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,Sunny,motorcycle ,Low ,1.0,27,13.377332859549806,22.0,23,Monday,0,2
32.0,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,Windy,scooter ,Low ,0.0,20,1.4881912567305338,9.0,9,Saturday,1,3
25.0,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,Sandstorms,scooter ,Low ,0.0,18,11.902753837483976,22.0,22,Tuesday,0,3
33.0,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,Sunny,scooter ,Jam ,0.0,22,4.654256824131882,21.0,22,Wednesday,0,3
30.0,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,Cloudy,scooter ,Low ,1.0,34,10.624594799022988,22.0,22,Saturday,1,3
